artists,name,danceability,energy,popularity,year
['Allenx'],Drive Me Home (feat. Norah B.) - Radio Edit,0.48100000000000004,0.862,3,2019
"['MaRLo', 'Feenixpawl']",Lighter Than Air (Mixed),0.327,0.736,23,2019
['Pink Floyd'],On the Turning Away - 2019 remix [Live],0.321,0.584,31,2019
['Pink Floyd'],Welcome to the Machine - 2019 remix [Live],0.365,0.502,28,2019
['Pink Floyd'],On the Turning Away - Remix 2019,0.433,0.374,33,2019
"['KAYTRANADA', 'Kali Uchis']",10%,0.794,0.757,69,2019
['Harry Styles'],Adore You,0.6759999999999999,0.7709999999999999,87,2019
['Pink Floyd'],Sorrow - Remix 2019,0.442,0.585,30,2019
['Pink Floyd'],Time - 2019 remix [Live],0.33899999999999997,0.7440000000000001,30,2019
['Pink Floyd'],One of These Days - 2019 remix [Live],0.228,0.9490000000000001,28,2019
"['Above & Beyond', 'Armin van Buuren']",Show Me Love,0.46,0.878,28,2019
"['Will Sparks', 'Luciana']",My Spine Is Tingling,0.695,0.8320000000000001,9,2019
"['Armin van Buuren', 'Tempo Giusto']",Mr. Navigator,0.759,0.948,8,2019
"['DJ Monk', 'Tico', 'Stevie SP']",Good Body Girl - Stevie Sp 2019 Relick,0.602,0.885,0,2019
"['Planet Perfecto Knights', 'Maurice West']",ResuRection (Mixed) - Maurice West Remix,0.652,0.8859999999999999,26,2019
"['Armin van Buuren', 'Tempo Giusto']",Mr. Navigator (Mixed),0.797,0.8140000000000001,19,2019
"['Armin van Buuren', 'Rising Star', 'Alexandra Badoi']",Cosmos,0.436,0.8859999999999999,10,2019
"['Armin van Buuren', 'Vini Vici', 'Hilight Tribe']",Great Spirit (Mixed),0.512,0.935,23,2019
"['Above & Beyond', 'Marty Longstaff']",Flying By Candlelight - Above & Beyond Club Mix,0.46799999999999997,0.693,20,2019
['Above & Beyond'],Anjunafamily,0.644,0.8540000000000001,10,2019
"['Above & Beyond', 'Seven Lions', 'Opposite the Other']",See The End,0.49700000000000005,0.6559999999999999,17,2019
['MaRLo'],The Power Within (Altitude 2019 Anthem),0.799,0.851,4,2019
['Bingo Players'],1000 Years,0.6679999999999999,0.74,1,2019
['Orjan Nilsen'],Wait 4 It,0.648,0.971,6,2019
['Pink Floyd'],Money - 2019 remix [Live],0.35100000000000003,0.735,27,2019
['Pink Floyd'],Terminal Frost - Remix 2019,0.48,0.442,30,2019
"['Armin van Buuren', 'Maarten de Jong']",Stickup (Mixed) - Maarten de Jong Remix,0.529,0.76,24,2019
"['Above & Beyond', 'ZoÃ« Johnston']",There's Only You - Above & Beyond Club Mix,0.581,0.865,18,2019
